locus_tag	gene	product	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
BBC01	NA	NA	0	NA	NA	NA	NA	NA
BBC02	NA	NA	0	NA	NA	NA	NA	NA
BBC03	NA	NA	0	NA	NA	NA	NA	NA
BBC04	NA	NA	0	NA	NA	NA	NA	NA
BBC05	NA	NA	0	NA	NA	NA	NA	NA
BBC06	NA	NA	0	NA	NA	NA	NA	NA
BBC07	NA	NA	0	NA	NA	NA	NA	NA
BBC08	NA	NA	0	NA	NA	NA	NA	NA
BBC10	NA	NA	0	NA	NA	NA	NA	NA
BBC11	NA	NA	0	NA	NA	NA	NA	NA
BBC12	NA	NA	0	NA	NA	NA	NA	NA
BB_0001	NA	conserved hypothetical protein	32.16088867	0.473479612	0.38563594	1.227789122	0.21952614	0.314034057
BB_0002	NA	glycosyl hydrolase family 3 N domain protein	189.5659738	0.888962521	0.262075368	3.392010959	0.000693817	0.002229034
BB_0004	NA	phosphoglucomutase	290.6174246	-0.159963613	0.182649771	-0.875794215	0.381141916	0.487653824
BB_0005	trpS	tryptophanyl-tRNA synthetase	481.1308654	-0.296071715	0.146319381	-2.023462049	0.043025533	0.081463328
BB_0006	NA	membrane protein	1183.052196	0.043612155	0.181708672	0.240011412	0.81032141	0.869193741
BB_0007	NA	conserved hypothetical protein	640.0815842	0.290825113	0.162890697	1.785400383	0.074196397	0.127443222
BB_0008	NA	conserved hypothetical protein	82.83566345	0.103464005	0.28247446	0.366277379	0.714158107	0.793911804
BB_0009	NA	conserved hypothetical protein	52.28585615	-0.373136092	0.355041799	-1.050963839	0.293275198	0.393874103
BB_0010	NA	holo-[acyl-carrier-protein] synthase (Holo-ACP synthase)(4'-phosphopantetheinyl transferase AcpS)	310.3425551	1.048651199	0.17442827	6.011933733	1.83E-09	1.66E-08
BB_0011	NA	conserved hypothetical protein	374.5909784	0.177952405	0.211604326	0.840967706	0.400366026	0.50879665
BB_0012	truA	tRNA pseudouridine synthase A	120.2956548	0.128288189	0.245879102	0.521753122	0.601842233	0.694780923
BB_0013	NA	conserved hypothetical protein	39.1969222	-0.091434278	0.39482643	-0.231580947	0.816863507	0.871252343
BB_0014	priA	primosomal protein N'	184.5661933	-0.496655214	0.195268683	-2.543445294	0.010976524	0.025482603
BB_0015	udk	uridine kinase	730.6103326	-1.140520023	0.131153433	-8.696074512	3.44E-18	9.03E-17
BB_0016	NA	GlpE protein	149.8748354	-0.224049002	0.422564249	-0.530212867	0.595964351	0.689953443
BB_0017	NA	conserved hypothetical integral membrane protein	105.859778	0.108610123	0.262651053	0.413514895	0.679229412	0.763479424
BB_0018	NA	NA	413.1073614	0.270969089	0.201463717	1.345001937	0.178624609	0.267936913
BB_0019	NA	conserved hypothetical protein	75.18327642	0.009601674	0.752313024	0.01276287	0.989816979	0.990570838
BB_0020	NA	NA	3941.3973	0.401189208	0.147173768	2.725955948	0.006411555	0.015986307
BB_0022	ruvB	holliday junction DNA helicase RuvB	1158.72894	0.185165389	0.144366209	1.282608934	0.199629119	0.293743183
BB_0023	ruvA	holliday junction DNA helicase RuvA	503.0012744	-0.109376867	0.181944635	-0.601154669	0.547736974	0.650304621
